File, Source
Kirchner0.jpg, http://commons.wikimedia.org/wiki/File:Jorge_Obeid_y_N%C3%A9stor_Kirchner_20060818.jpg
Kirchner1.jpg, http://commons.wikimedia.org/wiki/File:N%C3%A9stor_Kirchner_y_Vicente_Fox-Misiones-Julio_2004.jpg
Kirchner2.jpg, http://commons.wikimedia.org/wiki/File:N%C3%A9stor_Kirchner_y_Jos%C3%A9_Mar%C3%ADa_Aznar-Marid-Enero_2004.jpg
Kirchner3.jpg, http://commons.wikimedia.org/wiki/File:N%C3%A9stor_Kirchner_y_Lula_Da_Silva-Brasil-Marzo_2004.jpg
Kirchner.flv, http://www.youtube.com/watch?v=0Zbzd_JY7xU
Toledo0.jpg, http://commons.wikimedia.org/wiki/File:Zaldivar_Alejandro_Toledo.jpg
Toledo1.jpg, http://commons.wikimedia.org/wiki/File:Alejandro_Toledo_DAVOS2003.jpg
Toledo2.jpg, http://commons.wikimedia.org/wiki/File:Alejandro_Toledo_-_Jerusalem_2011.jpg
Toledo3.jpg, http://commons.wikimedia.org/wiki/File:Alejandro_Toledo_(8682).jpg
Toledo4.jpg, http://commons.wikimedia.org/wiki/File:Alejandro_Toledo.jpg